Site,BareRock,Sand,Colpomenia.sinuosa,Dictyota.flabellata,Cladophora,Chaetomorpha,Chonracanthus.exasperata,Endocladia,Egregia.menziesii,Ectocarpus,Farlowia.mollis,Laurencia.pacifica,Gastroclonium.coulteri,Fucus,Gelidium,Petalonia.binghaminae,Phyllospadix,Bossiella,Caulacanthis.ustulatus,Ceramium,Crustose.coralline,Corallina..Vancouveriensis,Cryptopluera.violacea,Cystosyra,Mastocarpus,Mazzaella.affinis,Mazzaella.splendens,Mazzaella.flaccida,Mazzaella..Leptorhynchos,Mazzaella.parksii,Prionitis,Polysiphonia,Sargassum.muticum,Ulva.californica,Silvetia.orpelvetiopsis,NonCorallinecCust,Anthopleura.spp,Balanus.Chthamalus,Tetraclita,Mytilus,Sponge,Pollicipes,SemiBalanus,Serpulorbis,Nucella,Ceratostoma,Chlorostoma,Littorina,Cyanoplax,Mopilia,Fissurella,Lottia.sp.,Nuttalina,Pagurus,Pisaster,Urchin,Brittle.star,Cancer,Pachygrapsus,Opaleye,Sculpin,Lottia.sp
Bodega,18.13247147,7.7710592,0,0,0,0,0,0,0,0,0,0,0,0.259035307,0,0,0,0,0,0,10.36141227,0,2.590353067,0,0.647588267,0,0,0,0,0,12.95176533,0,0,0,0,20.72282453,5.180706133,2.590353067,0,10.36141227,0,0,0,0,0,0,5.208112069,2.68E-05,0,0,0,0.057505838,0,0.001495152,0,2.875291904,0,0,0,0.28752919,0,0.001058107
Bodega,59.98834173,0,0,0,0,0,0,0.444358087,0,0,0,0,0,0,0,0,0,0,0,0,8.887161738,0.888716174,0,0,0.555447609,0,0,0,0,0,8.887161738,0,0,0,0,15.55253304,0,0,0,0.222179043,0,0,0,0,0.038214795,0,4.197895283,0,0,0,0,0.047768494,0,0.002732358,0,0,0,0,0.286610966,0,0,0.00087894
Bodega,22.29983849,0,0,0,0,0,0,19.51235868,0,0,0,0,0,0,0,0,8.362439436,0,0,0,5.574959624,11.14991925,0,0,1.393739906,0,0,4.181219718,0,0,8.362439436,0,0,0,0,8.362439436,4.181219718,0,0,0.278747981,0,0,0,0,0,0,6.234254349,2.65E-05,0,0,0,0.009477431,0,0.001971306,0,0,0,0,0.094774314,0,0,0.000174385
Bodega,54.91485948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44843992,0,0,0,0,0,0,0,0,0,0,31.6816497,0,2.11210998,0,2.11210998,0,0,0,0,0,0,0.70730339,0.000707303,0,0,0,0.019431412,0,0.0030313,0,0,0,0,0,0,0,0.000357538
Bodega,50.0975128,0,0,0,0,0,0,5.273422401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5468448,0,0,0,0,0,2.6367112,0,0,0,0,23.7304008,0,0,0,5.273422401,0,0,0,0,0,0,2.02921294,0.000573643,0,0,0,0.117069977,0,0,0,0,0,0,0.292674943,0,0,0.002154088
Bodega,29.9698653,0,0,0,0.332998503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.664992517,0,0,0,13.31994013,0,0,0,0,0,19.9799102,0,0,0,0,29.9698653,0,0,0,3.329985033,0,0,0,0,0,0,1.147179844,6.99E-05,0,0,0,0.116549476,0,0,0,0,0,0,0.166499252,0,0,0.00214451
Bodega,0,0,0,0,0,0,0,3.791288895,0,0,0,0,0,0,0,0,0,0,3.791288895,0,0,0,0,0,3.791288895,0,3.791288895,16.42891855,0,0,2.52752593,0,0,0,0,0,0,1.263762965,0,60.66062232,0,0,0,0,0.012132124,0,0.820131614,0,0,0.121321245,0,0.206246116,0,0,0,2.426424893,0,0,0.121321245,0.242642489,0,0.003794929
Bodega,6.654843937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.330968787,0,0,0,9.982265906,0,0,0,0,0,35.93615726,0,0,0,0,9.316781512,0,1.330968787,0,33.27421969,0,0,0,0,0,0,1.107366031,0.000428572,0,0.066548439,0,0.066548439,0,0,0.665484394,0,0,0,0.266193757,0,0,0.001224491
Bodega,11.17821809,0,0,0,0,0,0,2.032403289,0,0,0,0,0,0,0,0,2.032403289,0,0,0,0,1.016201644,0,0,6.097209866,0,0,0,0,0,47.76147728,0,0,0,0,6.097209866,0.508100822,0,0,20.32403289,0,0,0,0,0.028453646,0,2.256374131,0.000199176,0,0.14226823,0,0.23474258,0,0.001849487,0,0,0,0,0.28453646,0,0,0.004319263
Bodega,0,0,0,0,0,0,0,0.516867016,0,0,0,0,0.516867016,0,0,0,37.21442518,0.516867016,0,0,0,41.34936132,2.067468066,0,2.067468066,0,0,0,0,0,4.134936132,0,0,0,0,7.23613823,0,0,0,1.033734033,0,0,0,0,0,0,1.913648442,0,0,0,0,0.024809617,0,0.001075083,0,0.826987226,0,0,0.330794891,0.082698723,0.165397445,0.000456497
