Location,TidalHeight,Snail,Length,Weight
SanDiego,Low,1,23,14.8
SanDiego,Low,2,23.9,15.6
SanDiego,Low,3,28.6,20.4
SanDiego,Low,4,25,17.4
SanDiego,Low,5,25.6,19.9
SanDiego,Low,6,24.8,17.9
SanDiego,Low,7,21,15.2
SanDiego,Low,8,21.6,16
SanDiego,Low,9,20.8,12.5
SanDiego,Low,10,19.8,13.2
SanDiego,High,1,15,7.4
SanDiego,High,2,15.6,9.8
SanDiego,High,3,13.5,7.7
SanDiego,High,4,13,4.8
SanDiego,High,5,13.5,4.5
SanDiego,High,6,14.8,8.4
SanDiego,High,7,18,10.4
SanDiego,High,8,13.8,7.4
SanDiego,High,9,18.2,12.2
SanDiego,High,10,19.1,11.7
Monterey,Low,1,15,6.2
Monterey,Low,2,16.5,9.8
Monterey,Low,3,13.6,7.8
Monterey,Low,4,13.4,6.5
Monterey,Low,5,14,6.5
Monterey,Low,6,15.2,
Monterey,Low,7,18.5,11.6
Monterey,Low,8,13.8,5.8
Monterey,Low,9,19.1,12.9
Monterey,Low,10,19.8,14.7
Monterey,High,1,23.6,15.8
Monterey,High,2,24.4,17.1
Monterey,High,3,28.9,22
Monterey,High,4,25.3,16.7
Monterey,High,5,26,19.3
Monterey,High,6,25.5,17.9
Monterey,High,7,21.2,13.4
Monterey,High,8,22.3,15.1
Monterey,High,9,21.6,14.1
Monterey,High,10,20.5,12.8
