plant,matrix,symmetry,N.poll
Phacelia secunda,M_PL_001,actinomorphic,25
Senecio bustillosianus,M_PL_001,actinomorphic,22
Calandrinia affinis,M_PL_001,actinomorphic,13
Senecio erucaeformis,M_PL_001,actinomorphic,13
Chaetanthera euphrasioides,M_PL_001,actinomorphic,10
Mulinum spinosum,M_PL_001,actinomorphic,8
Sisyrinchium arenarium,M_PL_001,actinomorphic,8
Chuquiraga oppositifolia,M_PL_001,actinomorphic,7
Scypanthus elegans,M_PL_001,actinomorphic,7
Senecio francisci,M_PL_001,actinomorphic,7
Verbena scoparia,M_PL_001,actinomorphic,7
Berberis empetrifolia,M_PL_001,actinomorphic,6
Calandrinia uspallatensis,M_PL_001,actinomorphic,6
Cerastium arvense,M_PL_001,actinomorphic,6
Haplopappus sericeus,M_PL_001,actinomorphic,6
Hypochoeris sp1 M_PL_001,M_PL_001,actinomorphic,6
Mustisia sinuata,M_PL_001,actinomorphic,6
Alstroemeria pallida,M_PL_001,actinomorphic,5
Euphorbia portulacoides,M_PL_001,actinomorphic,5
Madia sativa,M_PL_001,actinomorphic,5
Nassauvia heterophylla,M_PL_001,actinomorphic,5
Perezia carthamoides,M_PL_001,actinomorphic,5
Sisyrinchium junceum,M_PL_001,actinomorphic,5
Loasa heterophylla,M_PL_001,actinomorphic,4
Quinchamalium chilensis,M_PL_001,actinomorphic,4
Sanicula graveolens,M_PL_001,actinomorphic,4
Sisyrinchium philippii,M_PL_001,actinomorphic,4
Bowlesia tropaeolifolia,M_PL_001,actinomorphic,3
Chaetanthera microphylla,M_PL_001,actinomorphic,3
Haplopappus chysanthemifolius,M_PL_001,actinomorphic,3
Leucocoryne pauciflora,M_PL_001,actinomorphic,3
Mustisia acerosa,M_PL_001,actinomorphic,3
Mustisia subulata,M_PL_001,actinomorphic,3
Oxalis cinerea,M_PL_001,actinomorphic,3
Oxalis geminata,M_PL_001,actinomorphic,3
Oxalis sp1 M_PL_001,M_PL_001,actinomorphic,3
Schizanthus grahamii,M_PL_001,actinomorphic,3
Senecio lithostaurus,M_PL_001,actinomorphic,3
Valeriana gracileps,M_PL_001,actinomorphic,3
Asteriscium aemocarpon,M_PL_001,actinomorphic,2
Berberis montana,M_PL_001,actinomorphic,2
Erodium cicutarium,M_PL_001,actinomorphic,2
Leuceria landbeckii,M_PL_001,actinomorphic,2
Nardophyllum lanatum,M_PL_001,actinomorphic,2
Rhodophiala montana,M_PL_001,actinomorphic,2
Trichocereus chiloensis,M_PL_001,actinomorphic,2
Viviania marifolia,M_PL_001,actinomorphic,2
Acaena pinn,M_PL_001,actinomorphic,1
Barneoudia chilensis,M_PL_001,actinomorphic,1
Cardamine nivalis,M_PL_001,actinomorphic,1
Clarkia tenella,M_PL_001,actinomorphic,1
Collomia biflora,M_PL_001,actinomorphic,1
Cynoglossum sp1 M_PL_001,M_PL_001,actinomorphic,1
Hippeastrum uni,M_PL_001,actinomorphic,1
Lepidium suffruticosum,M_PL_001,actinomorphic,1
Leucocoryne ixioides,M_PL_001,actinomorphic,1
Loasa sigmoidea,M_PL_001,actinomorphic,1
Malesherbia linearifolius,M_PL_001,actinomorphic,1
Nothoscordum andinum,M_PL_001,actinomorphic,1
Oenothera acaulis,M_PL_001,actinomorphic,1
Salpiglossus sp1 M_PL_001,M_PL_001,actinomorphic,1
