"matrix","symmetry","mnPoll"
"Kaiser-Bunbury-2017_Casse-Dent","actinomorphic",6.875
"Kaiser-Bunbury-2017_Casse-Dent","zygomorphic",4
"Kaiser-Bunbury-2017_Reserve--La","actinomorphic",8.5
"Kaiser-Bunbury-2017_Reserve--La","zygomorphic",11
"Kaiser-Bunbury-2017_Trois-Freres","actinomorphic",9.93333333333333
"Kaiser-Bunbury-2017_Trois-Freres","zygomorphic",6
"M_PL_001","actinomorphic",4.29230769230769
"M_PL_001","zygomorphic",4.31578947368421
"M_PL_002","actinomorphic",4.63888888888889
"M_PL_002","zygomorphic",4.14285714285714
"M_PL_003","actinomorphic",2.26666666666667
"M_PL_003","zygomorphic",2.16666666666667
"M_PL_004","actinomorphic",15
"M_PL_004","zygomorphic",2
"M_PL_005","actinomorphic",9.1578947368421
"M_PL_005","zygomorphic",11.35
"M_PL_006","actinomorphic",10
"M_PL_006","zygomorphic",7
"M_PL_007","actinomorphic",7
"M_PL_007","zygomorphic",1.6
"M_PL_008","actinomorphic",11.8333333333333
"M_PL_008","zygomorphic",7
"M_PL_009","actinomorphic",11.15
"M_PL_009","zygomorphic",4.75
"M_PL_010","actinomorphic",15.3103448275862
"M_PL_010","zygomorphic",6
"M_PL_011","actinomorphic",3.76923076923077
"M_PL_011","zygomorphic",3
"M_PL_012","actinomorphic",4.64
"M_PL_012","zygomorphic",7.25
"M_PL_014","actinomorphic",6.55555555555556
"M_PL_014","zygomorphic",1
"M_PL_015","actinomorphic",23.7692307692308
"M_PL_015","zygomorphic",17.0740740740741
"M_PL_016","actinomorphic",18.4444444444444
"M_PL_016","zygomorphic",10
"M_PL_017","actinomorphic",13.6
"M_PL_017","zygomorphic",5.4
"M_PL_018","actinomorphic",10.1666666666667
"M_PL_018","zygomorphic",8.66666666666667
"M_PL_019","actinomorphic",6.22222222222222
"M_PL_019","zygomorphic",10
"M_PL_020","actinomorphic",9.94444444444444
"M_PL_020","zygomorphic",5.5
"M_PL_021","actinomorphic",14.625
"M_PL_021","zygomorphic",7.36842105263158
"M_PL_022","actinomorphic",4.11111111111111
"M_PL_022","zygomorphic",3
"M_PL_023","actinomorphic",6.26315789473684
"M_PL_023","zygomorphic",1.5
"M_PL_024","actinomorphic",3.77777777777778
"M_PL_024","zygomorphic",2
"M_PL_025","actinomorphic",11.5
"M_PL_025","zygomorphic",5
"M_PL_026","actinomorphic",1.98837209302326
"M_PL_026","zygomorphic",1.77777777777778
"M_PL_027","actinomorphic",7.125
"M_PL_027","zygomorphic",3
"M_PL_028","actinomorphic",10.5
"M_PL_028","zygomorphic",5.36363636363636
"M_PL_029","actinomorphic",6.92682926829268
"M_PL_029","zygomorphic",7.75
"M_PL_030","actinomorphic",4
"M_PL_030","zygomorphic",3.625
"M_PL_031","actinomorphic",3.48780487804878
"M_PL_031","zygomorphic",1.85714285714286
"M_PL_032","actinomorphic",15
"M_PL_032","zygomorphic",1.5
"M_PL_033","actinomorphic",11.5833333333333
"M_PL_033","zygomorphic",2
"M_PL_034","actinomorphic",12
"M_PL_034","zygomorphic",12
"M_PL_035","actinomorphic",2.92
"M_PL_035","zygomorphic",2.90909090909091
"M_PL_036","actinomorphic",3
"M_PL_036","zygomorphic",3
