"web","plant","tip_name","symmetry","PC1","PC2","PC3","PC4","n.poll","n.shared","mn.n.shared","md.n.shared","n.shared.a","n.shared.z","mn.n.shared.a","mn.n.shared.z","md.n.shared.a","md.n.shared.z","Latitude","lat.x","lat.sc","pc1.sc","pc2.sc","rel.mn.n.shared","rel.mn.n.shared.a","rel.mn.n.shared.z"
"M_PL_001","Phacelia secunda","Phacelia_secunda","Actinomorphic",-24.6337863574834,12.01314012968,17.111929361105,-1.39723371380603,25,21,1.83132530120482,1,15,11,1.5625,2.73684210526316,1,1,-33.283334,5.76917099763909,0.356092789864302,-0.789857515502086,0.514314247383816,0.0732530120481928,0.0625,0.109473684210526
"M_PL_001","Senecio bustillosianus","Senecio_bustillosianus","Actinomorphic",-33.5927351895814,18.2095794647601,-25.8786235005875,-1.70625536669384,22,21,2.12048192771084,2,21,5,2.25,1.68421052631579,2,1,-33.283334,5.76917099763909,0.356092789864302,-1.07711717438443,0.779600175848724,0.0963855421686746,0.102272727272727,0.076555023923445
"M_PL_001","Stachys albi","Stachys_alba","Zygomorphic",-30.9185293323622,15.0384218419801,26.4952494268128,-3.95142887241399,14,14,1.27710843373494,1,7,10,1.15384615384615,1.72222222222222,1,1,-33.283334,5.76917099763909,0.356092789864302,-0.991371460604519,0.643834545173525,0.0912220309810672,0.0824175824175821,0.123015873015873
"M_PL_001","Adesmia conferta","Adesmia_conferta","Zygomorphic",8.57582099402813,-38.2039820449326,-2.29621343397506,-23.4002100812036,13,12,0.975903614457831,1,5,10,0.830769230769231,1.5,1,0.5,-33.283334,5.76917099763909,0.356092789864302,0.2749750511527,-1.63561334175728,0.0750695088044485,0.063905325443787,0.115384615384615
"M_PL_001","Calandrinia affinis","Calandrinia_affinis","Actinomorphic",1.83913906330855,-4.65221311162614,2.63016874611776,14.4393429625166,13,9,1.16867469879518,1,8,2,1.28125,0.789473684210526,1,1,-33.283334,5.76917099763909,0.356092789864302,0.0589701392277614,-0.199173526600564,0.0898980537534754,0.0985576923076923,0.0607287449392712
"M_PL_001","Senecio erucaeformis","Senecio_erucaeformis","Actinomorphic",-33.5927351895814,18.2095794647601,-25.8786235005875,-1.70625536669384,13,10,1.08433734939759,1,10,2,1.21875,0.631578947368421,1,0,-33.283334,5.76917099763909,0.356092789864302,-1.07711717438443,0.779600175848724,0.0834105653382762,0.09375,0.048582995951417
"M_PL_001","Astragalus curvicaulis","Astragalus_curvicaulis","Zygomorphic",8.38712003291249,-39.3920484016223,-2.42422199649519,-25.305645228729,10,8,0.807228915662651,0,6,6,0.723076923076923,1.11111111111111,0,0.5,-33.283334,5.76917099763909,0.356092789864302,0.268924545146165,-1.68647759935244,0.0807228915662651,0.0723076923076923,0.111111111111111
"M_PL_001","Chaetanthera euphrasioides","Chaetanthera_euphrasioides","Actinomorphic",-32.3854282849048,17.5248117706585,-24.0734532111529,-1.45234431685764,10,8,0.72289156626506,0,8,1,0.8125,0.421052631578947,1,0,-33.283334,5.76917099763909,0.356092789864302,-1.03840609609798,0.750283462864206,0.072289156626506,0.08125,0.0421052631578947
"M_PL_001","Adesmia radicifolia","Adesmia_radicifolia","Zygomorphic",8.57582099402813,-38.2039820449326,-2.29621343397506,-23.4002100812036,9,8,0.927710843373494,1,4,8,0.784615384615385,1.44444444444444,1,1,-33.283334,5.76917099763909,0.356092789864302,0.2749750511527,-1.63561334175728,0.103078982597055,0.0871794871794872,0.160493827160493
"M_PL_001","Mulinum spinosum","Mulinum_spinosum","Actinomorphic",-23.8429487545185,12.172438600592,-7.98280065294781,0.792391463192513,8,7,0.903614457831325,1,7,1,1.0625,0.368421052631579,1,0,-33.283334,5.76917099763909,0.356092789864302,-0.764500105350897,0.521134235521146,0.112951807228916,0.1328125,0.0460526315789474
