"Sample_ID","Plant_ID","Flower_ID","Treatment","Flower_Age","Buzz_number","Sex","Inflorescence","Date","Species","Accession","pollen_rem_a","pollen_rem_b","pollen_rem_c","pollen_rem_d","pollen_rem_est","newflowerid"
"c001","1180M-12","1D","Joined",1,1,"hermaphrodite",1,"21/05/2021","S. sisymbriifolium","1180M",464,504,481,532,9905,"1180M-12.1D.21/05/2021"
"c002","1180M-12","1D","Free",1,2,"hermaphrodite",1,"21/05/2021","S. sisymbriifolium","1180M",339,355,325,340,6795,"1180M-12.1D.21/05/2021"
"c003","F1-sys-3-1","1D","Joined",1,1,"hermaphrodite",1,"21/05/2021","S. sisymbriifolium","F1-sys-3",398,418,445,406,8335,"F1-sys-3-1.1D.21/05/2021"
"c004","F1-sys-3-1","1D","Free",1,1,"hermaphrodite",1,"21/05/2021","S. sisymbriifolium","F1-sys-3",33,28,28,25,570,"F1-sys-3-1.1D.21/05/2021"
"c005","F1-sys-3-1","1DA","Free",1,2,"hermaphrodite",1,"21/05/2021","S. sisymbriifolium","F1-sys-3",6,5,9,5,125,"F1-sys-3-1.1DA.21/05/2021"
"c006","F1-sys-3-2","1D","Free",1,1,"hermaphrodite",1,"21/05/2021","S. sisymbriifolium","F1-sys-3",54,38,54,51,985,"F1-sys-3-2.1D.21/05/2021"
"c007","F1-sys-3-1","1DA","Joined",1,2,"hermaphrodite",1,"21/05/2021","S. sisymbriifolium","F1-sys-3",14,15,11,8,240,"F1-sys-3-1.1DA.21/05/2021"
"c008","F1-sys-3-2","2D","Joined",2,1,"hermaphrodite",1,"21/05/2021","S. sisymbriifolium","F1-sys-3",214,226,236,220,4480,"F1-sys-3-2.2D.21/05/2021"
"c009","F1-sys-3-2","2D","Free",2,2,"hermaphrodite",1,"21/05/2021","S. sisymbriifolium","F1-sys-3",67,97,62,60,1430,"F1-sys-3-2.2D.21/05/2021"
"c010","F1-sys-3-2","1D","Joined",1,2,"hermaphrodite",1,"21/05/2021","S. sisymbriifolium","F1-sys-3",37,42,54,38,855,"F1-sys-3-2.1D.21/05/2021"
"c011","1180M-14","1D","Free",1,1,"staminate",1,"21/05/2021","S. sisymbriifolium","1180M",2,10,7,11,150,"1180M-14.1D.21/05/2021"
"c012","1180M-14","1D","Joined",1,2,"staminate",1,"21/05/2021","S. sisymbriifolium","1180M",31,22,23,27,515,"1180M-14.1D.21/05/2021"
"c013","F1-sys-3-1","2DB","Free",2,1,"hermaphrodite",1,"23/05/2021","S. sisymbriifolium","F1-sys-3",6,8,5,8,135,"F1-sys-3-1.2DB.23/05/2021"
"c014","1180M-12","2DA","Free",2,1,"hermaphrodite",1,"23/05/2021","S. sisymbriifolium","1180M",269,227,214,149,4295,"1180M-12.2DA.23/05/2021"
"c015","1180M-14","2DA","Free",2,1,"staminate",1,"23/05/2021","S. sisymbriifolium","1180M",15,13,12,10,250,"1180M-14.2DA.23/05/2021"
"c016","F1-sys-3-1","2DA","Joined",2,1,"hermaphrodite",1,"23/05/2021","S. sisymbriifolium","F1-sys-3",1,3,4,3,55,"F1-sys-3-1.2DA.23/05/2021"
