Site,Size,Eggs
Bahamas,115,128
Bahamas,97,72
Bahamas,99,117
Bahamas,106,66
Bahamas,72,83
Bahamas,78,64
Bahamas,83,49
Bahamas,87,62
Bahamas,112,98
Bahamas,98,19
Bahamas,90,63
Bahamas,75,39
Bahamas,91,35
Bahamas,132,32
Bahamas,96,35
Bahamas,81,47
Bahamas,115,75
Bahamas,81,67
Bahamas,89,15
Bahamas,96,113
Bahamas,105,52
Bahamas,114,33
Bahamas,111,97
Bahamas,120,164
Bahamas,101,33
Bahamas,104,79
Bahamas,82,88
Bahamas,104,66
Bahamas,100,85
Bahamas,105,16
Bahamas,109,161
Bahamas,91,123
Bahamas,102,60
Bahamas,96,12
Bahamas,111,62
Bahamas,101,71
Bahamas,71,53
Bahamas,85,69
Bahamas,102,62
Bahamas,98,97
Bahamas,98,54
Bahamas,96,59
Bahamas,99,82
Bahamas,84,100
Bahamas,97,28
Bahamas,88,77
Bahamas,99,76
Bahamas,91,56
Bahamas,73,14
Bahamas,98,71
Florida,111,103
Florida,101,43
Florida,101,66
Florida,79,57
Florida,87,46
Florida,106,82
Florida,94,66
Florida,99,164
Florida,91,127
Florida,110,217
Florida,101,50
Florida,92,49
Florida,85,100
Florida,85,47
Florida,87,70
Florida,109,64
Florida,100,59
Florida,100,81
Florida,101,126
Florida,90,95
Florida,118,144
Florida,110,132
Florida,112,11
Florida,127,201
Florida,103,110
Florida,99,79
Florida,93,94
Florida,101,32
Florida,87,60
Florida,86,83
Florida,93,114
Florida,83,116
Florida,108,101
Florida,108,86
Florida,107,107
Florida,107,131
Florida,122,56
Florida,117,164
Florida,110,33
Florida,110,121
Florida,107,92
Florida,71,28
Florida,112,75
Florida,127,138
Florida,117,100
Florida,104,70
Florida,70,105
Florida,58,34
Florida,96,96
Florida,97,147
NorthCarolina,93,121
NorthCarolina,120,166
NorthCarolina,103,103
NorthCarolina,87,121
NorthCarolina,95,83
NorthCarolina,92,73
NorthCarolina,102,86
NorthCarolina,104,21
NorthCarolina,76,117
NorthCarolina,98,183
NorthCarolina,100,56
NorthCarolina,96,109
NorthCarolina,89,119
NorthCarolina,104,119
NorthCarolina,108,170
NorthCarolina,108,135
NorthCarolina,88,66
NorthCarolina,121,115
NorthCarolina,94,149
NorthCarolina,113,98
NorthCarolina,102,88
NorthCarolina,79,120
NorthCarolina,111,159
NorthCarolina,94,91
NorthCarolina,92,143
NorthCarolina,82,70
NorthCarolina,128,240
NorthCarolina,76,129
NorthCarolina,91,94
NorthCarolina,110,130
NorthCarolina,118,191
NorthCarolina,91,73
NorthCarolina,108,82
NorthCarolina,126,28
NorthCarolina,90,44
NorthCarolina,102,118
NorthCarolina,100,138
NorthCarolina,115,107
NorthCarolina,117,39
NorthCarolina,101,91
NorthCarolina,92,74
NorthCarolina,86,110
NorthCarolina,98,138
NorthCarolina,106,96
NorthCarolina,113,188
NorthCarolina,103,70
NorthCarolina,99,82
NorthCarolina,102,120
NorthCarolina,115,153
NorthCarolina,118,73
