Site,Transect,KelpBassDensity,KelpVolume,Temperature,Salinity,Sand,Seagrass,Rock
SD,1,7,2,26.1,36.98,13,42,2
SD,2,2,1.87,26.3,36.65,25,12,6
SD,3,14,2.54,26.25,36.87,12,12,1
SD,4,6,5.97,25.54,36.05,0,59,5
LA,1,1,14.08,25.9,36.57,6,0,7
LA,2,4,7.86,25.87,36.47,68,0,11
LA,3,55,9.92,25.12,36.98,17,0,11
LA,4,0,19.38,24.95,36.26,10,0,11
SB,1,36,21.87,25.1,36.36,10,0,11
SB,2,40,16.57,24.5,36.54,11,6,16
SB,3,3,26.91,24.6,36.56,4,28,13
SB,4,0,14.42,24.4,36.49,13,7,9
MB,1,41,31.71,23.3,36.26,4,0,2
MB,2,40,17.88,23.6,36.34,31,0,21
MB,3,0,23.42,23.4,36.3,53,0,1
MB,4,43,38.66,23.2,36.23,9,0,11
MY,1,0,30.1,23.4,36.06,18,21,13
MY,2,5,34.65,22.9,36.53,26,21,10
MY,3,29,47.43,22.85,36.6,44,6,15
MY,4,7,39.53,22.9,36.71,23,10,18
SF,1,9,47.41,25.4,36.94,18,17,14
SF,2,13,47.68,25.87,36.23,13,0,2
SF,3,31,53.89,25.98,36.77,6,8,3
SF,4,10,31.79,24.83,36.96,4,5,1
HB,1,1,69.44,20.4,36.55,5,24,4
HB,2,1,84.7,20.35,36.78,28,46,15
HB,3,0,54.03,20.34,36.8,20,11,8
HB,4,15,74.53,20.1,36.27,20,0,11
