SVL,weight
63,8.79
37,1.64
52,4.09
50,4.77
38,1.72
56,5.45
54,4.82
60,6.12
49,2.38
66,8.20
47,2.95
59,4.89
54,5.04
71,10.78
49,3.64
68,9.25
62,6.96
60,7.23
46,3.36
44,2.75
61,6.51
69,9.86
44,1.94
53,4.53
48,3.38
45,2.91
46,2.75
37,1.49
55,5.12
53,4.60
61,6.28
66,9.28
61,7.12
42,2.54
53,4.30
58,5.88
52,4.68
45,2.74
51,3.59
58,6.21
61,6.53
55,4.48
53,4.99
28,0.65
47,2.87
67,9.38
71,9.53
36,2.38
47,3.34
45,2.70
53,4.59
62,7.44
62,7.25
55,5.13
67,8.29
51,3.92
44,2.42
52,4.48
61,7.04
55,5.76
60,6.28
60,6.67
69,10.81
49,3.58
50,3.58
56,5.54
57,5.21
49,3.45
50,3.77
47,3.27
58,6.06
36,1.07
57,4.63
56,4.62
50,3.90
46,3.75
61,6.59
67,7.89
43,2.10
40,1.70
50,2.86
54,5.73
41,2.05
52,3.87
57,5.84
56,5.09
57,5.35
56,4.48
52,4.63
40,2.13
68,10.20
70,11.10
47,3.38
66,7.95
66,9.33
57,5.65
54,4.83
55,4.31
57,4.94
45,2.94
