Treatment,Plot,ColonyDiameter,Photosynthesis
Control,36,203,0.333
Control,4,110,0.301
Control,16,263,0.351
Control,39,354,0.388
Control,35,281,0.360
Control,18,175,0.330
Control,17,147,0.312
Control,8,384,0.392
Control,32,323,0.374
Control,27,233,0.347
Control,25,162,0.316
Control,13,225,0.342
Control,7,337,0.383
Control,6,291,0.363
Control,33,191,0.329
Control,31,134,0.314
Control,1,99,0.304
Control,21,373,0.392
Control,23,307,0.371
Control,30,251,0.345
Removal,11,258,0.423
Removal,29,225,0.444
Removal,40,324,0.394
Removal,19,204,0.452
Removal,37,180,0.463
Removal,34,188,0.458
Removal,5,101,0.504
Removal,3,238,0.441
Removal,12,340,0.389
Removal,26,276,0.421
Removal,38,255,0.430
Removal,15,161,0.476
Removal,2,389,0.371
Removal,28,115,0.493
Removal,14,291,0.411
Removal,24,142,0.478
Removal,10,351,0.382
Removal,22,132,0.487
Removal,20,304,0.400
Removal,9,375,0.369
