Site,Height,Volume,Surface_area
ARROW,62.5,25,877.6
ISTHMUS,148,80,2477.4
ISTHMUS,149,420,507.1
ISTHMUS,83.8,50,1888.4
ISTHMUS,71.5,110,1903.0
ISTHMUS,83,100,3344.9
ISTHMUS,160,680,659.4
ISTHMUS,56,30,1069.9
LIONS HEAD,57,80,1609.9
LIONS HEAD,115,100,1713.6
LIONS HEAD,193,280,2350.4
LIONS HEAD,87,260,3874.7
LIONS HEAD,128,480,751.1
LIONS HEAD,145,510,426.9
LIONS HEAD,40,30,1684.6
LIONS HEAD,21.3,10,653.9
ISTHMUS,91,440,2176.4
ISTHMUS,77,120,2900.3
ISTHMUS,86.5,300,2652.1
ISTHMUS,59.6,20,1328.4
ISTHMUS,12.3,10,87.7
ISTHMUS,15,0,1044.6
ISTHMUS,18,10,151.6
ISTHMUS,22.5,4,187.1
ISTHMUS,87,220,1820.9
ISTHMUS,21.2,3,221.7
ISTHMUS,19.8,3,223.4
ISTHMUS,9.6,1,91.9
ISTHMUS,21,5,339.7
ISTHMUS,13,4,170.1
ISTHMUS,7.5,2,122.1
ISTHMUS,19.5,5,183.1
ISTHMUS,8,1,59.6
ISTHMUS,13.5,3,196.0
ISTHMUS,7,1.5,91.4
ISTHMUS,6.8,2,203.9
ISTHMUS,86,400,2753.1
ISTHMUS,7.1,11,168.6
ISTHMUS,7.8,3,123.0
ISTHMUS,6.8,3,203.9
ARROW,20.5,4,577.0
ARROW,42.4,40,1649.1
ARROW,91,120,2758.0
ARROW,198,620,2666.9
ARROW,183,1200,5117.1
INFINITY,35,3,209.7
INFINITY,21.8,1,91.0
INFINITY,29,3,102.7
INFINITY,35,4,235.0
INFINITY,93,40,3079.9
INFINITY,102,30,2495.9
