Bush,Buchanan
34062,262
5610,73
38637,248
5413,65
115185,570
177279,789
2873,90
10964,89
289456,561
4256,36
2697,29
152082,650
73029,504
12608,83
3546,71
2146,23
3764,30
4743,22
30646,242
20206,127
180713,845
1669,10
49963,289
106141,305
39053,282
6860,67
1316,39
3038,29
16404,90
52043,267
5058,43
134476,446
26212,145
68582,570
184884,1010
75293,194
39497,229
34705,124
12126,114
8014,108
4051,27
2332,29
35419,182
29744,270
41745,186
60426,122
2454,33
4750,39
3300,29
1840,9
4985,76
28635,105
9138,102
2478,29
57948,272
55141,563
33864,108
16059,47
90101,538
13439,147
36248,311
83100,305
82214,396
4511,46
12176,120
4983,88
152846,3407
