Biomass,NumberSpp
10180.6,111
6334.8,98
11132.3,113
5282.0,73
9418.1,108
3050.5,85
8314.7,104
11619.2,112
9878.6,116
15644.4,128
18121.8,124
4653.6,82
2767.8,105
27927.3,131
17849.7,141
6060.2,105
9116.7,125
5477.0,111
14877.9,123
11606.0,118
14478.7,122
10374.2,141
5370.6,109
7026.2,93
14508.0,113
13130.9,108
9549.2,125
6457.9,121
5792.3,108
5534.5,100
4495.9,105
2201.6,74
30241.7,106
21152.6,121
7071.0,111
6180.7,112
14241.4,110
2973.4,103
5108.3,140
16661.7,123
5990.5,91
28742.0,135
4270.7,92
8385.6,111
8506.4,108
13844.0,131
6575.1,112
11840.3,118
15106.0,122
