krat_density,shrubcover,seedproduction,snakedensity
24,31.7,199,2.2
27,48.3,259,6.5
1,3.3,51,5.4
15,29.5,184,7.6
9,9.2,65,5.8
14,19.0,123,7.8
10,21.7,115,1.9
22,46.0,237,4.1
14,16.6,127,5.6
10,13.4,77,4.1
5,10.2,110,4.2
14,19.5,146,5.5
12,30.3,196,6.7
17,24.6,145,0.9
5,13.4,92,3.5
10,27.9,164,6.2
18,31.5,197,4.2
13,16.8,142,0.5
23,43.6,221,0.8
23,41.4,266,1.9
16,17.2,125,2.0
7,5.3,46,2.3
17,22.3,114,4.0
13,20.8,161,6.5
8,18.4,95,2.8
23,46.9,250,6.2
11,21.1,163,4.3
23,50.0,310,5.4
26,32.7,187,0.3
29,44.2,275,1.6
24,41.0,261,2.8
6,8.8,50,2.6
16,27.5,166,4.9
21,34.5,173,6.9
19,26.1,160,1.6
25,47.8,297,1.1
18,28.2,176,2.0
17,34.0,171,5.8
7,12.9,99,4.9
12,19.6,153,4.4
30,49.9,272,2.5
16,17.4,141,1.2
20,32.6,211,0.8
14,14.6,99,0.0
2,8.2,94,3.6
23,31.8,178,0.4
16,32.7,179,5.3
11,7.1,94,0.9
6,2.6,57,4.8
11,14.8,83,6.3
