Species,clipped,weeded,flowers,
Erodium,no,no,3,
Erodium,no,no,13,
Erodium,no,no,14,
Erodium,no,no,1,
Erodium,no,no,2,
Erodium,no,no,51,
Erodium,no,no,6,
Erodium,no,no,5,
Erodium,no,no,4,
Erodium,no,no,3,
Erodium,no,no,9,
Erodium,no,no,15,
Erodium,no,no,10,
Erodium,no,no,16,
Erodium,no,no,4,
Erodium,no,no,5,
Erodium,no,no,4,
Erodium,no,no,2,
Erodium,no,no,23,
Erodium,no,no,4,
Erodium,no,no,3,
Erodium,no,no,7,
Erodium,no,no,6,
Erodium,no,no,2,
Erodium,no,yes,4,
Erodium,no,yes,11,
Erodium,no,yes,13,
Erodium,no,yes,33,
Erodium,no,yes,11,
Erodium,no,yes,62,
Erodium,no,yes,0,
Erodium,no,yes,11,
Erodium,no,yes,7,
Erodium,no,yes,8,
Erodium,no,yes,13,
Erodium,no,yes,11,
Erodium,no,yes,31,
Erodium,no,yes,9,
Erodium,no,yes,15,
Erodium,no,yes,4,
Erodium,no,yes,12,
Erodium,no,yes,10,
Erodium,no,yes,5,
Erodium,no,yes,6,
Erodium,no,yes,65,
Erodium,no,yes,27,
Erodium,yes,no,2,
Erodium,yes,no,2,
Erodium,yes,no,2,
Erodium,yes,no,3,
Erodium,yes,no,1,
Erodium,yes,no,2,
Erodium,yes,no,7,
Erodium,yes,no,1,
Erodium,yes,no,7,
Erodium,yes,no,5,
Erodium,yes,no,8,
Erodium,yes,no,7,
Erodium,yes,no,3,
Erodium,yes,no,13,
Erodium,yes,no,11,
Erodium,yes,no,1,
Erodium,yes,no,6,
Erodium,yes,no,6,
Erodium,yes,no,9,
Erodium,yes,no,3,
Erodium,yes,no,4,
Erodium,yes,no,2,
Erodium,yes,no,4,
Erodium,yes,no,3,
Erodium,yes,no,6,
Erodium,yes,no,31,
Erodium,yes,no,5,
Erodium,yes,yes,12,
Erodium,yes,yes,4,
Erodium,yes,yes,2,
Erodium,yes,yes,8,
Erodium,yes,yes,11,
Erodium,yes,yes,14,
Erodium,yes,yes,24,
Erodium,yes,yes,8,
Erodium,yes,yes,43,
Erodium,yes,yes,4,
Erodium,yes,yes,4,
Erodium,yes,yes,7,
Erodium,yes,yes,14,
Erodium,yes,yes,6,
Erodium,yes,yes,2,
Erodium,yes,yes,10,
Erodium,yes,yes,7,
Erodium,yes,yes,9,
Erodium,yes,yes,5,
Erodium,yes,yes,9,
Erodium,yes,yes,1,
Erodium,yes,yes,10,
Erodium,yes,yes,3,
Tripidocarpum,no,no,2,
Tripidocarpum,no,no,5,
Tripidocarpum,no,no,104,
Tripidocarpum,no,no,5,
Tripidocarpum,no,no,1,
Tripidocarpum,no,no,53,
Tripidocarpum,no,no,19,
Tripidocarpum,no,no,2,
Tripidocarpum,no,no,22,
Tripidocarpum,no,no,3,
Tripidocarpum,no,no,21,
Tripidocarpum,no,no,2,
Tripidocarpum,no,no,5,
Tripidocarpum,no,no,9,
Tripidocarpum,no,no,15,
Tripidocarpum,no,no,15,
Tripidocarpum,no,no,3,
Tripidocarpum,no,no,10,
Tripidocarpum,no,no,4,
Tripidocarpum,no,no,2,
Tripidocarpum,no,no,13,
