species,BreakForce,Thickness
Mstellatus,26.975,2.545
Mstellatus,10.105,6.793
Mstellatus,14.156,5.542
Mstellatus,29.972,2.290
Mstellatus,7.612,5.153
Mstellatus,19.214,2.552
Mstellatus,12.331,6.362
Mstellatus,14.846,5.945
Mstellatus,12.583,3.117
Mstellatus,21.408,2.290
Mstellatus,17.341,2.827
Mstellatus,17.220,3.417
Mstellatus,18.448,2.392
Mstellatus,16.732,3.223
Mstellatus,16.910,3.189
Mstellatus,23.224,1.900
Mstellatus,13.360,3.670
Mstellatus,30.629,2.081
Mstellatus,24.386,1.810
Mstellatus,17.372,3.105
Mstellatus,32.573,1.656
Mstellatus,10.481,5.146
Mstellatus,15.577,4.092
Mstellatus,13.487,5.089
Mstellatus,8.337,3.529
Mstellatus,15.861,5.564
Mstellatus,18.401,3.997
Mstellatus,19.190,2.811
Mstellatus,18.646,2.104
Mstellatus,19.372,1.873
Mstellatus,16.674,2.647
Mstellatus,29.972,2.290
Mstellatus,13.923,2.187
Mstellatus,24.632,1.991
Mstellatus,19.705,1.991
Mstellatus,17.695,2.217
Mstellatus,38.540,2.036
Ccrispus,6.659,17.670
Ccrispus,8.646,10.210
Ccrispus,11.529,2.552
Ccrispus,3.932,12.470
Ccrispus,8.847,5.542
Ccrispus,6.157,19.110
Ccrispus,7.643,7.698
Ccrispus,8.847,5.542
Ccrispus,13.318,4.418
Ccrispus,16.232,3.927
Ccrispus,4.308,13.660
Ccrispus,3.827,17.940
Ccrispus,14.176,3.805
Ccrispus,14.451,4.072
Ccrispus,18.527,3.705
Ccrispus,5.352,9.161
Ccrispus,15.211,3.546
Ccrispus,14.292,6.175
Ccrispus,14.678,3.675
Ccrispus,11.589,5.077
Ccrispus,17.341,2.545
Ccrispus,6.762,5.076
Ccrispus,8.294,3.547
Ccrispus,19.705,3.730
Ccrispus,11.943,4.927
Ccrispus,10.122,7.751
Ccrispus,5.827,17.670
Ccrispus,6.967,6.334
