Disturbance,Range,Genotype,Replicate,Fruits
no,Invasive,a,1,1
no,Invasive,a,2,2
no,Invasive,a,3,1
no,Invasive,a,4,2
no,Invasive,a,5,1
no,Invasive,b,1,2
no,Invasive,b,2,4
no,Invasive,b,3,2
no,Invasive,b,4,4
no,Invasive,b,5,2
no,Invasive,c,1,4
no,Invasive,c,2,3
no,Invasive,c,3,5
no,Invasive,c,4,4
no,Invasive,c,5,3
no,Invasive,d,1,8
no,Invasive,d,2,9
no,Invasive,d,3,10
no,Invasive,d,4,9
no,Invasive,d,5,9
no,Invasive,e,1,1
no,Invasive,e,2,2
no,Invasive,e,3,1
no,Invasive,e,4,2
no,Invasive,e,5,2
no,Invasive,f,1,9
no,Invasive,f,2,9
no,Invasive,f,3,10
no,Invasive,f,4,11
no,Invasive,f,5,11
no,Invasive,g,1,12
no,Invasive,g,2,15
no,Invasive,g,3,17
no,Invasive,g,4,12
no,Invasive,g,5,18
no,Invasive,h,1,4
no,Invasive,h,2,3
no,Invasive,h,3,5
no,Invasive,h,4,4
no,Invasive,h,5,7
no,Native,i,1,3
no,Native,i,2,2
no,Native,i,3,1
no,Native,i,4,3
no,Native,i,5,3
no,Native,j,1,5
no,Native,j,2,5
no,Native,j,3,5
no,Native,j,4,6
no,Native,j,5,2
no,Native,k,1,4
no,Native,k,2,5
no,Native,k,3,10
no,Native,k,4,5
no,Native,k,5,7
no,Native,l,1,14
no,Native,l,2,13
no,Native,l,3,15
no,Native,l,4,16
no,Native,l,5,16
no,Native,m,1,1
no,Native,m,2,4
no,Native,m,3,2
no,Native,m,4,4
no,Native,m,5,3
no,Native,n,1,15
no,Native,n,2,13
no,Native,n,3,13
no,Native,n,4,15
no,Native,n,5,18
no,Native,o,1,18
no,Native,o,2,23
no,Native,o,3,27
no,Native,o,4,19
no,Native,o,5,29
no,Native,p,1,8
no,Native,p,2,4
no,Native,p,3,7
no,Native,p,4,6
no,Native,p,5,9
yes,Invasive,a,1,1
yes,Invasive,a,2,3
yes,Invasive,a,3,5
yes,Invasive,a,4,2
yes,Invasive,a,5,5
yes,Invasive,b,1,6
yes,Invasive,b,2,3
yes,Invasive,b,3,5
yes,Invasive,b,4,6
yes,Invasive,b,5,1
yes,Invasive,c,1,2
yes,Invasive,c,2,4
yes,Invasive,c,3,13
yes,Invasive,c,4,4
yes,Invasive,c,5,8
yes,Invasive,d,1,16
yes,Invasive,d,2,11
yes,Invasive,d,3,17
yes,Invasive,d,4,21
yes,Invasive,d,5,20
yes,Invasive,e,1,3
yes,Invasive,e,2,4
yes,Invasive,e,3,4
yes,Invasive,e,4,7
yes,Invasive,e,5,1
yes,Invasive,f,1,15
yes,Invasive,f,2,12
yes,Invasive,f,3,13
yes,Invasive,f,4,18
yes,Invasive,f,5,18
yes,Invasive,g,1,21
yes,Invasive,g,2,28
yes,Invasive,g,3,32
yes,Invasive,g,4,21
yes,Invasive,g,5,27
yes,Invasive,h,1,11
yes,Invasive,h,2,2
yes,Invasive,h,3,8
yes,Invasive,h,4,9
yes,Invasive,h,5,7
yes,Native,i,1,1
yes,Native,i,2,1
yes,Native,i,3,1
yes,Native,i,4,4
yes,Native,i,5,2
yes,Native,j,1,4
yes,Native,j,2,3
yes,Native,j,3,1
yes,Native,j,4,3
yes,Native,j,5,2
yes,Native,k,1,4
yes,Native,k,2,3
yes,Native,k,3,3
yes,Native,k,4,4
yes,Native,k,5,3
yes,Native,l,1,9
yes,Native,l,2,11
yes,Native,l,3,8
yes,Native,l,4,9
yes,Native,l,5,7
yes,Native,m,1,1
yes,Native,m,2,2
yes,Native,m,3,1
yes,Native,m,4,1
yes,Native,m,5,4
yes,Native,n,1,10
yes,Native,n,2,11
yes,Native,n,3,11
yes,Native,n,4,10
yes,Native,n,5,12
yes,Native,o,1,12
yes,Native,o,2,16
yes,Native,o,3,19
yes,Native,o,4,13
yes,Native,o,5,18
yes,Native,p,1,5
yes,Native,p,2,1
yes,Native,p,3,3
yes,Native,p,4,3
yes,Native,p,5,8
