Site,striped_parrotfish,redband_parrotfish,squirrelfish,doctorfish
Gspot,3,14,13,1
Gspot,8.3,6.9,12.5,2.8
Gspot,3,12,11,2
Gspot,20,5,3,2
Gspot,41,12,13,1
Gspot,26,3.8,2.5,2.5
Gspot,0,22,16,0
Gspot,35,9,9,1
Rainbow,30,6,15,1
Rainbow,32,7,13,1
Rainbow,28,3,0,0
Rainbow,9,5,6,3
Rainbow,14,1,1,1
Rainbow,23,2,1,4
Rainbow,15,4,3,3
Rainbow,19,3,1,4
SquareRock,16,7,2,13
SquareRock,23,5,9,0
SquareRock,34.8,8.7,2.2,1.1
SquareRock,43.5,9.8,4.3,1.1
SquareRock,4,0,5,3
SquareRock,51,3,7,1
TugBarge,17,5,3,0
TugBarge,38,7,12,4
TugBarge,15,9,3,1
TugBarge,28,0,0,0
TugBarge,72,4,1,1
Windsock,32,6,7,9
Windsock,32,17,5,6
Windsock,8,4,0,0
Windsock,11,11,0,2
Windsock,18,6,6,5
Windsock,9,6,0,2
Windsock,13,12,1,3
Windsock,0,5,0,4
