Individual,substrate,H1,H2,H3,H4,H5,H6,H7,H8,S1,S2,S3,S4,S5,S6,S7,S8,B1,B2,B3,B4,B5,B6,B7,B8
LDA_B_44,Black,57.574,41.02,0.539,0.133,0.035,0.108,0.118,0.473,0.13,2.838,11.382,28.065,33.006,18.522,5.796,0.261,0.878,20.756,23.014,21.269,19.336,11.242,3.328,0.177
LDA_B_45,Black,63.935,34.976,0.301,0.115,0.063,0.201,0.076,0.334,0.306,3.584,12.385,23.203,30.892,23.086,6.141,0.403,0.237,11.389,14.652,23.997,23.595,14.575,9.108,2.447
LDA_B_46,Black,64.227,34.484,0.358,0.147,0.051,0.253,0.108,0.373,0.43,4.11,12.485,22.408,29.872,23.81,6.463,0.422,0.174,11.981,14.82,23.592,22.636,14.554,9.667,2.576
LDA_B_47,Black,51.058,48.127,0.229,0.104,0.031,0.138,0.087,0.225,0.12,2.072,8.56,21.802,30.662,28.222,8.318,0.243,0.28,13.168,19.348,22.383,15.769,11.867,13.574,3.611
LDA_B_48,Black,39.672,60.084,0.116,0.02,0.002,0.039,0.017,0.05,0.137,3.216,16.947,47.058,29.551,2.92,0.165,0.006,0.029,3.844,9.679,21.784,43.027,17.575,3.647,0.416
LDA_B_49,Black,71.191,28.643,0.038,0.013,0.003,0.027,0.03,0.053,0.111,1.399,7.181,29.589,48.053,12.921,0.716,0.029,0.012,5.744,23.396,49.78,16.897,2.768,1.246,0.157
LDA_B_50,Black,57.589,42.325,0.056,0.005,0.001,0.004,0.003,0.017,0.109,1.525,6.113,33.536,51.922,6.611,0.181,0.003,0.04,3.172,7.047,9.654,31.752,40.016,7.669,0.651
LDA_B_56,Black,60.368,38.23,0.299,0.211,0.046,0.279,0.189,0.379,0.629,11.091,19.75,27.93,26.533,11.997,1.937,0.134,0.073,11.903,14.872,18.027,18.881,15.08,15.021,6.143
LDA_R_36,Red,44.496,55.492,0.012,0,0,0,0,0,0.012,0.601,5.01,27.165,49.96,15.726,1.455,0.071,0.033,1.367,9.581,17.902,32.85,29.901,7.576,0.79
LDA_R_37,Red,65.048,34.53,0.295,0.079,0.024,0.01,0.002,0.013,0.332,2.259,10.108,11.556,21.947,27.85,21.267,4.682,2.478,0.787,10.25,20.594,22.424,20.126,13.242,10.099
LDA_R_38,Red,64.497,34.899,0.179,0.015,0.019,0.059,0.111,0.221,0.756,9.573,33.271,40.324,14.031,1.919,0.123,0.004,0.06,1.495,17.522,34.264,31.989,12.393,2.101,0.176
LDA_R_39,Red,71.384,28.566,0.009,0.009,0.002,0.013,0.003,0.015,0.128,0.813,5.199,31.303,54.698,7.796,0.063,0,0.01,0.199,8.508,23.815,36.342,24.886,5.97,0.27
LDA_R_40,Red,51.345,46.995,0.529,0.112,0.055,0.214,0.226,0.524,0.619,5.997,17.54,23.155,23.759,18.826,8.565,1.54,2.994,19.154,22.458,17.957,11.767,7.122,8.352,10.197
